site_name,site_id,year,year_id,count
Loughs Foyle & Swilly,1,1984,1,254
Loughs Foyle & Swilly,1,1985,2,245
Loughs Foyle & Swilly,1,1986,3,239
Loughs Foyle & Swilly,1,1987,4,240
Loughs Foyle & Swilly,1,1988,5,267
Loughs Foyle & Swilly,1,1989,6,318
Loughs Foyle & Swilly,1,1990,7,369
Loughs Foyle & Swilly,1,1991,8,418
Loughs Foyle & Swilly,1,1992,9,371
Loughs Foyle & Swilly,1,1993,10,575
Loughs Foyle & Swilly,1,1994,11,601
Loughs Foyle & Swilly,1,1995,12,664
Loughs Foyle & Swilly,1,1996,13,894
Loughs Foyle & Swilly,1,1997,14,1164
Loughs Foyle & Swilly,1,1998,15,914
Loughs Foyle & Swilly,1,1999,16,1128
Loughs Foyle & Swilly,1,2000,17,1200
Loughs Foyle & Swilly,1,2001,18,701
Loughs Foyle & Swilly,1,2002,19,1038
Loughs Foyle & Swilly,1,2003,20,994
Loughs Foyle & Swilly,1,2004,21,626
Loughs Foyle & Swilly,1,2005,22,903
Loughs Foyle & Swilly,1,2006,23,742
Loughs Foyle & Swilly,1,2007,24,1107
Loughs Foyle & Swilly,1,2008,25,1157
Loughs Foyle & Swilly,1,2009,26,1038
Loughs Foyle & Swilly,1,2010,27,1248
Loughs Foyle & Swilly,1,2011,28,1288
Loughs Foyle & Swilly,1,2012,29,1032
Loughs Foyle & Swilly,1,2013,30,1220
Loughs Foyle & Swilly,1,2014,31,990
Loughs Foyle & Swilly,1,2015,32,1026
Loughs Foyle & Swilly,1,2016,33,720
Loughs Foyle & Swilly,1,2017,34,607
Loughs Foyle & Swilly,1,2018,35,604
Dunfanaghy,2,1984,1,120
Dunfanaghy,2,1985,2,175
Dunfanaghy,2,1986,3,154
Dunfanaghy,2,1987,4,196
Dunfanaghy,2,1988,5,227
Dunfanaghy,2,1989,6,249
Dunfanaghy,2,1990,7,228
Dunfanaghy,2,1991,8,219
Dunfanaghy,2,1992,9,193
Dunfanaghy,2,1993,10,131
Dunfanaghy,2,1994,11,147
Dunfanaghy,2,1995,12,214
Dunfanaghy,2,1996,13,211
Dunfanaghy,2,1997,14,311
Dunfanaghy,2,1998,15,219
Dunfanaghy,2,1999,16,145
Dunfanaghy,2,2000,17,269
Dunfanaghy,2,2001,18,138
Dunfanaghy,2,2002,19,129
Dunfanaghy,2,2003,20,76
Dunfanaghy,2,2004,21,120
Dunfanaghy,2,2005,22,NA
Dunfanaghy,2,2006,23,NA
Dunfanaghy,2,2007,24,35
Dunfanaghy,2,2008,25,6
Dunfanaghy,2,2009,26,133
Dunfanaghy,2,2010,27,46
Dunfanaghy,2,2011,28,169
Dunfanaghy,2,2012,29,135
Dunfanaghy,2,2013,30,91
Dunfanaghy,2,2014,31,101
Dunfanaghy,2,2015,32,44
Dunfanaghy,2,2016,33,44
Dunfanaghy,2,2017,34,150
Dunfanaghy,2,2018,35,129
Sheskinmore Lough,3,1984,1,196
Sheskinmore Lough,3,1985,2,396
Sheskinmore Lough,3,1986,3,255
Sheskinmore Lough,3,1987,4,301
Sheskinmore Lough,3,1988,5,136
Sheskinmore Lough,3,1989,6,165
Sheskinmore Lough,3,1990,7,159
Sheskinmore Lough,3,1991,8,93
Sheskinmore Lough,3,1992,9,134
Sheskinmore Lough,3,1993,10,128
Sheskinmore Lough,3,1994,11,96
Sheskinmore Lough,3,1995,12,104
Sheskinmore Lough,3,1996,13,87
Sheskinmore Lough,3,1997,14,110
Sheskinmore Lough,3,1998,15,219
Sheskinmore Lough,3,1999,16,82
Sheskinmore Lough,3,2000,17,72
Sheskinmore Lough,3,2001,18,44
Sheskinmore Lough,3,2002,19,44
Sheskinmore Lough,3,2003,20,40
Sheskinmore Lough,3,2004,21,NA
Sheskinmore Lough,3,2005,22,44
Sheskinmore Lough,3,2006,23,33
Sheskinmore Lough,3,2007,24,51
Sheskinmore Lough,3,2008,25,37
Sheskinmore Lough,3,2009,26,33
Sheskinmore Lough,3,2010,27,38
Sheskinmore Lough,3,2011,28,41
Sheskinmore Lough,3,2012,29,45
Sheskinmore Lough,3,2013,30,37
Sheskinmore Lough,3,2014,31,23
Sheskinmore Lough,3,2015,32,29
Sheskinmore Lough,3,2016,33,29
Sheskinmore Lough,3,2017,34,35
Sheskinmore Lough,3,2018,35,18
Pettigo,4,1984,1,112
Pettigo,4,1985,2,156
Pettigo,4,1986,3,160
Pettigo,4,1987,4,167
Pettigo,4,1988,5,224
Pettigo,4,1989,6,182
Pettigo,4,1990,7,127
Pettigo,4,1991,8,128
Pettigo,4,1992,9,131
Pettigo,4,1993,10,96
Pettigo,4,1994,11,61
Pettigo,4,1995,12,152
Pettigo,4,1996,13,94
Pettigo,4,1997,14,132
Pettigo,4,1998,15,108
Pettigo,4,1999,16,136
Pettigo,4,2000,17,NA
Pettigo,4,2001,18,111
Pettigo,4,2002,19,103
Pettigo,4,2003,20,126
Pettigo,4,2004,21,111
Pettigo,4,2005,22,95
Pettigo,4,2006,23,129
Pettigo,4,2007,24,82
Pettigo,4,2008,25,66
Pettigo,4,2009,26,24
Pettigo,4,2010,27,71
Pettigo,4,2011,28,58
Pettigo,4,2012,29,54
Pettigo,4,2013,30,63
Pettigo,4,2014,31,103
Pettigo,4,2015,32,120
Pettigo,4,2016,33,82
Pettigo,4,2017,34,45
Pettigo,4,2018,35,47
Bunduff,5,1984,1,9
Bunduff,5,1985,2,21
Bunduff,5,1986,3,25
Bunduff,5,1987,4,8
Bunduff,5,1988,5,16
Bunduff,5,1989,6,5
Bunduff,5,1990,7,33
Bunduff,5,1991,8,2
Bunduff,5,1992,9,0
Bunduff,5,1993,10,NA
