"flock","year","count"
1,1,254
1,2,245
1,3,239
1,4,240
1,5,267
1,6,318
1,7,369
1,8,418
1,9,371
1,10,575
1,11,613
1,12,664
1,13,894
1,14,1015
1,15,914
1,16,1128
1,17,1814
1,18,1192
1,19,1383
1,20,994
1,21,626
1,22,903
1,23,1136
1,24,1107
1,25,1195
1,26,1038
1,27,1248
1,28,1288
1,29,1171
1,30,1220
1,31,1050
1,32,1026
1,33,720
1,34,607
1,35,604
2,1,120
2,2,175
2,3,154
2,4,196
2,5,227
2,6,249
2,7,228
2,8,219
2,9,193
2,10,131
2,11,147
2,12,289
2,13,211
2,14,334
2,15,219
2,16,145
2,17,269
2,18,184
2,19,306
2,20,76
2,21,120
2,22,148
2,23,160
2,24,205
2,25,60
2,26,133
2,27,46
2,28,169
2,29,135
2,30,91
2,31,101
2,32,44
2,33,44
2,34,150
2,35,129
3,1,209
3,2,396
3,3,233
3,4,281
3,5,146
3,6,165
3,7,134
3,8,93
3,9,134
3,10,110
3,11,113
3,12,104
3,13,87
3,14,110
3,15,117
3,16,82
3,17,72
3,18,44
3,19,44
3,20,40
3,21,14
3,22,48
3,23,50
3,24,44
3,25,39
3,26,35
3,27,40
3,28,41
3,29,46
3,30,42
3,31,23
3,32,31
3,33,29
3,34,35
3,35,18
4,1,112
4,2,156
4,3,164
4,4,167
4,5,224
4,6,182
4,7,127
4,8,128
4,9,131
4,10,96
4,11,120
4,12,152
4,13,136
4,14,132
4,15,144
4,16,132
4,17,139
4,18,111
4,19,103
4,20,126
4,21,113
4,22,95
4,23,129
4,24,82
4,25,66
4,26,66
4,27,78
4,28,67
4,29,55
4,30,63
4,31,103
4,32,120
4,33,82
4,34,45
4,35,47
5,1,9
5,2,21
5,3,25
5,4,8
5,5,16
5,6,5
5,7,33
5,8,2
5,9,0
5,10,6
5,11,40
5,12,6
5,13,0
6,1,56
6,2,46
6,3,58
6,4,62
6,5,66
6,6,76
6,7,90
6,8,82
6,9,80
6,10,61
6,11,60
6,12,64
6,13,69
6,14,73
6,15,84
6,16,95
6,17,93
6,18,91
6,19,89
6,20,86
6,21,84
6,22,82
6,23,76
6,24,69
6,25,62
6,26,75
6,27,70
6,28,76
6,29,67
6,30,64
6,31,64
6,32,64
6,33,84
6,34,87
6,35,83
7,1,49
7,2,57
7,3,72
7,4,68
7,5,52
7,6,59
7,7,63
7,8,67
7,9,79
7,10,87
7,11,59
7,12,85
7,13,84
7,14,71
7,15,75
7,16,70
7,17,45
7,18,39
7,19,37
7,20,35
7,21,22
7,22,27
7,23,31
7,24,23
7,25,14
7,26,19
7,27,11
7,28,8
7,29,6
7,30,0
7,31,8
7,32,0
8,1,82
8,2,80
8,3,98
8,4,87
8,5,76
8,6,72
8,7,75
8,8,80
8,9,64
8,10,92
8,11,81
8,12,97
8,13,80
8,14,92
8,15,104
8,16,69
8,17,80
8,18,74
8,19,48
8,20,30
8,21,32
8,22,14
8,23,9
8,24,5
8,25,3
8,26,5
8,27,2
8,28,1
8,29,0
9,1,109
9,2,169
9,3,138
9,4,168
9,5,175
9,6,182
9,7,168
9,8,138
9,9,146
9,10,100
9,11,131
9,12,91
9,13,127
9,14,138
9,15,129
9,16,82
9,17,146
9,18,86
9,19,82
9,20,71
9,21,65
9,22,66
9,23,69
9,24,57
9,25,62
9,26,58
