"","mean","sd","2.5%","50%","97.5%","Rhat","n.eff","f"
"alpha[1]",6.51812718315381,0.0663269730995083,6.38894034346834,6.51785272980364,6.64858584234872,1,12298,1
"alpha[2]",4.85024604723112,0.0703795617472202,4.7145803967713,4.84990716348366,4.9885655382736,1,11784,1
"alpha[3]",4.25465872092494,0.070852351981475,4.11581135408977,4.25500472803762,4.39322717124112,1,11471,1
"alpha[4]",4.58989676435567,0.0688679275727281,4.45677581438186,4.58968962477965,4.72357607920286,1,10727,1
"alpha[5]",0.139752181792198,0.904617815156786,-1.75566506835793,0.172582277400742,1.83477126228833,1.01,496,0.575083333333333
"alpha[6]",4.29918277327453,0.0755346836008396,4.15295751919206,4.29932535044803,4.44829998952648,1,11425,1
"alpha[7]",3.36849052834421,0.0906711968970126,3.18902465135138,3.36779257640049,3.54369984657264,1,8686,1
"alpha[8]",3.02036961817984,0.112389253216894,2.79648563381204,3.02106517720077,3.23465541318647,1,5940,1
"alpha[9]",4.32219452248525,0.0690079334903197,4.18741989441899,4.32250458123519,4.45456582277446,1,11522,1
"alpha[10]",4.41571355286489,0.0705356061385254,4.2750024546123,4.41663441704412,4.55201242343436,1,11767,1
"alpha[11]",4.26310505168676,0.0748766000370575,4.11604332784292,4.26278326983169,4.40807041317865,1,11342,1
"alpha[12]",3.51001329223507,0.105097504119127,3.3055582821235,3.50946357909562,3.71968253021658,1,7758,1
"alpha[13]",4.55131607270318,0.0694337500433834,4.41519805095589,4.55172307965801,4.68743704859256,1,11814,1
"alpha[14]",3.96803855750989,0.074754590188374,3.81988960001938,3.96876754653488,4.11285576366161,1,10152,1
"alpha[15]",4.49380545419814,0.0694615165105155,4.35592120132693,4.49329971081007,4.62950153799357,1,10829,1
"alpha[16]",3.46265847878252,0.0759578121224368,3.31368868340371,3.4634313954632,3.61152151614801,1,9444,1
"alpha[17]",3.66684227882691,0.0777094142749816,3.51421257302471,3.66718396052012,3.81846963760549,1,10496,1
"alpha[18]",1.83295405995427,0.241794496695682,1.3561153979542,1.83642838117894,2.30866409920084,1,2918,1
"alpha[19]",0.623769315191128,0.373700705092979,-0.119072582460301,0.632279209113623,1.34571730399807,1,1334,0.949416666666667
"alpha[20]",5.40897448125675,0.0690476593813235,5.27372508239289,5.40867312972657,5.54495717608415,1,11438,1
"alpha[21]",3.47696532934172,0.174994267682263,3.13648899467144,3.47621860471972,3.81473619699818,1,3813,1
"alpha[22]",4.11220891869146,0.210041706219583,3.70444945006836,4.11164746486829,4.5254261979289,1,3588,1
"alpha[23]",5.69546487306622,0.0684575951746574,5.55918498650478,5.69585466725178,5.82986594582811,1,11758,1
"alpha[24]",3.57871391026564,0.0870974197085298,3.40891034436447,3.57825815546503,3.75011917047145,1,8979,1
"alpha[25]",5.45653842023459,0.0672784677677137,5.32571742048534,5.45708786614869,5.58905309573053,1,12000,1
"alpha[26]",5.74352137565942,0.0663318594965832,5.61412725138799,5.74362714499064,5.87485020887862,1,11951,1
"alpha[27]",2.92221848057838,0.0913597123780347,2.74143013139284,2.92344590315657,3.10147561634482,1,7705,1
"alpha[28]",0.377396627524703,0.281556920804737,-0.204333287922529,0.381474213038515,0.909548012499356,1,1566,0.907333333333333
